State,Year,e_price,CO2_annual,Fuels_ratio,coal_ratio,natural_gas_ratio,crude_oil_ratio,state_code,cdd,hdd,Description,cdd_hdd_sum,CO2_log
ME,2002,10.35,40880296,0.0,0.0,0.0,0.0,17,21.08333333333333,645.75,Maine,666.8333333333334,17.52615874453801
MA,2002,10.06,101256200,0.0,0.0,0.0,0.0,19,45.583333333333336,496.5833333333333,Massachusetts,542.1666666666666,18.433164496644064
NH,2002,10.6,18416508,0.0,0.0,0.0,0.0,27,28.166666666666668,607.0833333333334,New Hampshire,635.25,16.7287579942723
RI,2002,9.2,12393636,0.0,0.0,0.0,0.0,37,48.75,466.9166666666667,Rhode Island,515.6666666666667,16.33269367302337
VT,2002,10.87,60624,0.0,0.0,0.0,0.0,43,19.416666666666668,655.5833333333334,Vermont,675.0,11.012446133258383
NJ,2002,9.3,88610676,0.0,0.0,0.0,0.0,28,77.75,414.5833333333333,New Jersey,492.3333333333333,18.29976290493017
NY,2002,11.16,225044380,0.0473060633940942,0.0,0.0461409920135643,0.0011650713805299,30,56.16666666666666,482.6666666666667,New York,538.8333333333334,19.23180818516301
PA,2002,8.06,479959600,0.6821290372289728,0.6186099204967668,0.0587110402766918,0.0048080764555141,36,68.08333333333333,460.9166666666667,Pennsylvania,529.0,19.98921249165733
IL,2002,6.94,388416860,0.4305700218772614,0.3967763457862219,0.0001307197744508,0.0336629563165886,11,85.0,500.1666666666667,Illinois,585.1666666666667,19.777589702296154
IN,2002,5.34,467106592,0.9385147661941234,0.9236514260566676,0.0015438023183954,0.0133195378190602,12,90.41666666666669,460.75,Indiana,551.1666666666666,19.962068037982473
MI,2002,7.09,300901192,0.4418917351559992,0.0,0.3854315299981928,0.0564602051578064,20,58.75,554.75,Michigan,613.5,19.522292503041413
OH,2002,6.77,497727168,0.8103369116618648,0.635394552316948,0.1340841109452817,0.0408582483996352,33,80.5,462.75,Ohio,543.25,20.025562629439623
WI,2002,6.28,198414276,0.0,0.0,0.0,0.0,47,52.083333333333336,610.8333333333334,Wisconsin,662.9166666666667,19.105867705871525
IA,2002,6.01,166332828,0.0,0.0,0.0,0.0,13,76.0,550.0,Iowa,626.0,18.929501326966914
KS,2002,6.31,156870148,0.8606585585607116,0.005199209423821,0.6241130514376394,0.2313462976992512,14,130.5,413.0833333333333,Kansas,543.5833333333333,18.870928938288344
MN,2002,5.8,151716004,0.0,0.0,0.0,0.0,21,44.333333333333336,706.5,Minnesota,750.8333333333334,18.837520936447085
MO,2002,6.09,283718368,0.0455432003792029,0.0412616266871809,0.0,0.0042815736920219,23,112.66666666666669,418.0,Missouri,530.6666666666666,19.46349264213161
NE,2002,5.55,83208032,0.0895988420181968,0.0,0.0061827956989247,0.0834160463192721,25,101.33333333333331,521.5833333333334,Nebraska,622.9166666666667,18.236854439593436
ND,2002,5.45,129777464,0.9652242387323472,0.5970136170149543,0.1027687187525536,0.2654419029648394,32,42.0,770.1666666666666,North Dakota,812.1666666666666,18.681331726205084
SD,2002,6.26,13809136,0.1274816641375822,0.0,0.0161861406170966,0.1112955235204855,39,71.83333333333333,633.75,South Dakota,705.5833333333334,16.44084096006842
DE,2002,6.91,24279568,0.0,0.0,0.0,0.0,7,104.16666666666669,353.8333333333333,Delaware,458.0,17.00514573157554
FL,2002,7.31,501734316,0.0470154171464158,0.0,0.0088581608046751,0.0381572563417407,8,299.9166666666667,57.25,Florida,357.1666666666667,20.033581286557244
GA,2002,6.24,330732464,0.0,0.0,0.0,0.0,9,153.75,236.58333333333331,Georgia,390.33333333333337,19.61682034065734
MD,2002,6.18,126062488,0.4328550423712763,0.4327758437238515,7.919864742483877e-05,0.0,18,105.33333333333331,365.25,Maryland,470.5833333333333,18.652288278487823
NC,2002,6.74,293624424,0.0,0.0,0.0,0.0,31,131.0,277.1666666666667,North Carolina,408.1666666666667,19.497812039255603
SC,2002,5.83,147828852,0.0,0.0,0.0,0.0,38,172.25,215.91666666666663,South Carolina,388.1666666666666,18.811565757170328
VA,2002,6.23,188461768,0.7065411968833254,0.6420623205435729,0.0643615316636399,0.0001173446761125,44,103.08333333333331,344.8333333333333,Virginia,447.9166666666666,19.054405721999952
WV,2002,5.11,350185648,0.9962599101755794,0.9401723994367504,0.0540008978982904,0.0020866128405385,46,76.5,413.1666666666667,West Virginia,489.6666666666667,19.6739739946804
AL,2002,5.71,323750316,0.6060136731909475,0.3097576128388261,0.2625415550175307,0.0337145053345906,1,171.08333333333334,231.16666666666663,Alabama,402.25,19.59548314703932
KY,2002,4.26,352416704,0.9807875229698784,0.9472163502742936,0.0287473453972826,0.0048238272983021,15,115.5,364.25,Kentucky,479.75,19.680324851583965
MS,2002,6.24,94151384,0.6453305207163001,0.0595372939261229,0.3281819640932749,0.2576112626969023,22,185.5,208.16666666666663,Mississippi,393.6666666666666,18.360414512906285
TN,2002,5.72,239212568,0.1621394221638089,0.1550912033062623,0.0040188712213873,0.0030293476361592,40,129.41666666666666,315.1666666666667,Tennessee,444.58333333333337,19.2928631204665
AR,2002,5.61,109476804,0.4445609414091302,0.0006691471995976,0.3542559040519633,0.0896358901575692,3,145.75,295.5,Arkansas,441.25,18.511223249164058
LA,2002,5.99,221741972,0.874644460917398,0.0202500407276888,0.6434436995239732,0.2109507206657359,16,222.41666666666663,149.41666666666666,Louisiana,371.8333333333333,19.21702497556739
OK,2002,5.59,195493432,0.9815410254825432,0.0152936765774719,0.7924437985921282,0.1738035503129431,34,150.08333333333334,312.3333333333333,Oklahoma,462.4166666666666,19.09103734091741
TX,2002,6.62,1033592352,0.9468360235092732,0.0626781659177658,0.6303360260976401,0.2538218314938673,41,224.16666666666663,167.0,Texas,391.1666666666666,20.75630629158443
AZ,2002,7.21,184025336,0.406935449269144,0.4059628107080112,0.0004435579727371,0.0005290805883955,2,259.4166666666667,164.0,Arizona,423.4166666666667,19.030584001746256
CO,2002,6.0,166501336,0.9890449898016188,0.4096085640419368,0.5175820092759799,0.061854416483702,5,37.083333333333336,602.5,Colorado,639.5833333333334,18.930513891376606
ID,2002,5.58,3093416,0.0,0.0,0.0,0.0,10,40.16666666666666,596.5,Idaho,636.6666666666666,14.944786539875121
MT,2002,5.7,67340368,0.8882303498807119,0.6955145846214624,0.0913368799105365,0.101378885348713,24,15.583333333333334,749.0833333333334,Montana,764.6666666666667,18.025270436487734
NV,2002,8.42,85136920,0.0753623868274147,0.0,0.0001407327485105,0.0752216540789041,26,186.75,294.3333333333333,Nevada,481.0833333333333,18.25977134199933
NM,2002,6.73,118512116,0.996790721347151,0.2006728072268419,0.6513845808362223,0.1447333332840867,29,91.08333333333331,380.75,New Mexico,471.8333333333333,18.590525758038563
UT,2002,5.39,135246252,0.9888151042871492,0.6034291847743949,0.3032680786839267,0.0821178408288276,42,50.75,609.8333333333334,Utah,660.5833333333334,18.722607763661788
WY,2002,4.68,181109388,0.998504185615524,0.7681752994974513,0.1926852900097482,0.0376435961083244,48,28.166666666666668,715.6666666666666,Wyoming,743.8333333333333,19.014611760273173
CA,2002,12.19,240073864,0.6462657509206338,0.0,0.1350011040085422,0.5112646469120915,4,69.16666666666667,246.0,California,315.1666666666667,19.296457200622488
OR,2002,6.32,28846728,0.0021320527732875,0.0,0.0021320527732875,0.0,35,17.916666666666668,443.8333333333333,Oregon,461.75,17.177507130275067
WA,2002,5.88,50816200,0.0850642347432007,0.0850642347432007,0.0,0.0,45,12.916666666666666,479.6666666666667,Washington,492.58333333333337,17.743725759349463
CT,2003,10.16,38554280,0.0,0.0,0.0,0.0,6,46.41666666666666,538.1666666666666,Connecticut,584.5833333333333,17.46757767645415
ME,2003,9.79,31061796,0.0,0.0,0.0,0.0,17,20.5,687.5,Maine,708.0,17.251489197580387
MA,2003,10.56,109759316,0.0,0.0,0.0,0.0,19,43.41666666666666,561.0,Massachusetts,604.4166666666666,18.513800490144007
NH,2003,10.83,30687320,0.0,0.0,0.0,0.0,27,26.416666666666668,670.0833333333334,New Hampshire,696.5,17.239360097921363
RI,2003,10.47,9650288,0.0,0.0,0.0,0.0,37,46.25,528.9166666666666,Rhode Island,575.1666666666666,16.082498317429415
VT,2003,10.98,102860,0.0,0.0,0.0,0.0,43,19.58333333333333,719.25,Vermont,738.8333333333334,11.541124119328908
NJ,2003,9.48,81523068,0.0,0.0,0.0,0.0,28,63.833333333333336,475.0,New Jersey,538.8333333333334,18.21639658110678
NY,2003,12.44,229929828,0.046311904119638,0.0,0.0453000289281568,0.0010118751914812,30,47.083333333333336,545.9166666666666,New York,593.0,19.25328472468415
PA,2003,8.02,481631400,0.668036382883824,0.5998948141973824,0.0627761174209671,0.0053654512654744,36,49.833333333333336,512.5,Pennsylvania,562.3333333333334,19.992689649169048
IL,2003,6.86,385691956,0.4076795018210123,0.3725107966845229,0.0001260323417583,0.035042672794731,11,62.66666666666666,523.9166666666666,Illinois,586.5833333333333,19.77054956737373
IN,2003,5.37,472234748,0.9357011036855024,0.9212721397032574,0.0018501355331844,0.0125788284490608,12,61.41666666666666,492.75,Indiana,554.1666666666666,19.9729867673712
MI,2003,6.85,296769020,0.4206125025692221,0.0,0.3655371876559884,0.0550753149132337,20,38.66666666666666,594.3333333333334,Michigan,633.0,19.508464683755616
OH,2003,6.73,516368448,0.8308256584663506,0.6695640841049574,0.1205297520045676,0.0407318223568254,33,51.25,503.6666666666667,Ohio,554.9166666666667,20.062331115147543
WI,2003,6.64,196738508,0.0,0.0,0.0,0.0,47,39.16666666666666,645.6666666666666,Wisconsin,684.8333333333333,19.09738603440724
IA,2003,6.11,165256872,0.0,0.0,0.0,0.0,13,62.583333333333336,576.6666666666666,Iowa,639.25,18.923011621307968
KS,2003,6.35,156511404,0.8509250014388633,0.0041376704427445,0.6002499868625523,0.2465373441335665,14,119.16666666666669,412.1666666666667,Kansas,531.3333333333334,18.86863943429925
MN,2003,6.01,161254512,0.0,0.0,0.0,0.0,21,38.91666666666666,716.75,Minnesota,755.6666666666666,18.898494494644034
MO,2003,6.02,307808128,0.0822058986277113,0.0787129260734838,0.0,0.0034929725542275,23,97.41666666666669,427.25,Missouri,524.6666666666666,19.544987185778034
NE,2003,5.64,87015148,0.0997584872833825,0.0,0.0083785454295721,0.0913799418538104,25,81.91666666666667,520.4166666666666,Nebraska,602.3333333333333,18.28159277640514
ND,2003,5.47,128132932,0.9607947758341864,0.6035743030273963,0.1015516923533476,0.2556687804534425,32,43.0,776.0,North Dakota,819.0,18.668578814233392
SD,2003,6.35,14849132,0.1090518717563687,0.0,0.0145420058484153,0.0945098659079533,39,60.083333333333336,627.4166666666666,South Dakota,687.5,16.513451970326194
DE,2003,6.96,28263584,0.0,0.0,0.0,0.0,7,83.41666666666667,411.6666666666667,Delaware,495.08333333333337,17.157084749543145
FL,2003,7.72,520041296,0.0438661584961242,0.0,0.0084917316366069,0.0353744268595172,8,296.4166666666667,64.5,Florida,360.9166666666667,20.069418781771127
GA,2003,6.32,321021156,0.0,0.0,0.0,0.0,9,127.83333333333331,244.25,Georgia,372.0833333333333,19.587017585464604
MD,2003,6.45,131871476,0.3877683698417932,0.3876128382035473,0.0001555316382458,0.0,18,82.16666666666667,414.25,Maryland,496.4166666666667,18.697338339562677
NC,2003,6.86,290853532,0.0,0.0,0.0,0.0,31,108.41666666666669,293.3333333333333,North Carolina,401.75,19.488330371964004
SC,2003,6.08,148141780,0.0,0.0,0.0,0.0,38,144.83333333333334,228.66666666666663,South Carolina,373.5,18.813680346138092
VA,2003,6.27,186369436,0.72915155152286,0.6179944107557124,0.1110795123742644,7.76283928832678e-05,44,82.08333333333333,378.25,Virginia,460.3333333333333,19.043241476814142
WV,2003,5.13,346218192,0.9947394671160924,0.9360242927839236,0.0564338749847957,0.0022812993473731,46,55.583333333333336,442.9166666666667,West Virginia,498.5,19.662579746986115
AL,2003,5.88,325141820,0.5964756747371619,0.3198666507071932,0.2464975751684623,0.0301114488615064,1,147.0,233.83333333333331,Alabama,380.83333333333337,19.599772014343415
KY,2003,4.42,345891016,0.9780040562511524,0.9419339266857746,0.0311355827089723,0.0049345468564053,15,84.41666666666667,383.0833333333333,Kentucky,467.5,19.661634300745582
MS,2003,6.46,94550864,0.6587924706488377,0.0807580863256852,0.3377605116868065,0.2402738726363461,22,169.83333333333334,214.25,Mississippi,384.08333333333337,18.3646484910492
TN,2003,5.84,225923784,0.1355826395982794,0.1284084993796501,0.0036438213549066,0.0035303188637226,40,102.0,325.5,Tennessee,427.5,19.23570826142067
AR,2003,5.57,110669244,0.4544059668794709,0.0003762746303101,0.3666252764573325,0.0874044157918281,3,134.0,291.0833333333333,Arkansas,425.0833333333333,18.52205652709809
LA,2003,6.93,225759952,0.8729575376438901,0.0219207911735939,0.6415837111696464,0.2094530353006496,16,217.0,154.08333333333334,Louisiana,371.08333333333337,19.23498283345359
OK,2003,6.35,196941048,0.9807519640080584,0.0171641664361196,0.7908436368341148,0.1727441607378237,34,151.75,301.0833333333333,Oklahoma,452.8333333333333,19.09841499318746
TX,2003,7.5,1030723344,0.9500318263819704,0.0640549287810657,0.6356900293492016,0.250286868251703,41,224.16666666666663,157.91666666666666,Texas,382.0833333333333,20.753526668435903
AZ,2003,7.34,189037616,0.4083901596624431,0.4072720100757702,0.0006941845350594,0.0004239650516134,2,268.9166666666667,154.75,Arizona,423.6666666666667,19.057456579675804
CO,2003,6.77,164711520,0.9891991486858134,0.3954050356260772,0.5322228934810893,0.0615712195786468,5,34.333333333333336,570.25,Colorado,604.5833333333334,18.919706138057
ID,2003,5.22,4455912,0.0,0.0,0.0,0.0,10,54.5,535.0833333333334,Idaho,589.5833333333334,15.309742311740749
MT,2003,6.14,75919612,0.8962983779896743,0.6880045212543381,0.0919190844253326,0.1163747723100034,24,26.0,693.9166666666666,Montana,719.9166666666666,18.145185601610105
NV,2003,8.29,93048524,0.0786159207529566,0.0,0.0001646406717339,0.0784512800812227,26,201.41666666666663,278.5,Nevada,479.9166666666666,18.348631678487177
NM,2003,7.0,126754328,0.9964431386155864,0.182656410317504,0.6700022635249337,0.1437844647731486,29,93.83333333333331,349.8333333333333,New Mexico,443.6666666666666,18.657761345809213
UT,2003,5.41,139092324,0.9887593877369756,0.5879089127714892,0.3175541497936863,0.0832963251718001,42,57.25,550.1666666666666,Utah,607.4166666666666,18.750648472049665
WY,2003,4.76,184437132,0.998594800365324,0.7630908428250895,0.1997186572283159,0.0357853003119184,48,31.75,668.4166666666666,Wyoming,700.1666666666666,19.032819215409596
CA,2003,11.78,225233640,0.6244201479034043,0.0,0.1287660030911666,0.4956541448122376,4,88.08333333333333,236.66666666666663,California,324.75,19.23264882140435
OR,2003,6.18,35472268,0.0019209852058179,0.0,0.0019209852058179,0.0,35,25.666666666666668,417.75,Oregon,443.4166666666667,17.384261766064537
WA,2003,5.86,61028148,0.0971033561635667,0.0971033561635667,0.0,0.0,45,19.166666666666668,446.6666666666667,Washington,465.83333333333337,17.92684575832863
CT,2004,10.26,41624184,0.0,0.0,0.0,0.0,6,39.75,512.3333333333334,Connecticut,552.0833333333334,17.544191902469127
ME,2004,9.69,29558684,0.0,0.0,0.0,0.0,17,13.25,680.8333333333334,Maine,694.0833333333334,17.20188813343214
MA,2004,10.77,105139900,0.0,0.0,0.0,0.0,19,32.416666666666664,537.25,Massachusetts,569.6666666666666,18.47080240224232
NH,2004,11.37,32982120,0.0,0.0,0.0,0.0,27,18.0,643.0,New Hampshire,661.0,17.311476154412425
RI,2004,10.96,8471636,0.0,0.0,0.0,0.0,37,35.416666666666664,509.4166666666667,Rhode Island,544.8333333333334,15.952234200278976
VT,2004,11.02,87180,0.0,0.0,0.0,0.0,43,13.75,703.4166666666666,Vermont,717.1666666666666,11.375730225792383
NJ,2004,10.29,85953688,0.0,0.0,0.0,0.0,28,64.91666666666667,440.6666666666667,New Jersey,505.58333333333337,18.269319197540412
NY,2004,12.55,232403856,0.0580486143455284,0.0,0.0568619592806415,0.0011866550648869,30,40.833333333333336,518.5,New York,559.3333333333334,19.263987174887
PA,2004,8.0,492047108,0.6647237805318938,0.5843904722743417,0.0752583840144086,0.0050749242431435,36,52.5,479.9166666666667,Pennsylvania,532.4166666666667,20.014085017840518
IL,2004,6.8,411298640,0.4138562839664442,0.3802158596959321,0.0001273042998868,0.0335131199706253,11,56.583333333333336,493.1666666666667,Illinois,549.75,19.83483012660632
IN,2004,5.58,483069976,0.9357870511745016,0.9198622211458248,0.0040154299212708,0.0119094001074057,12,63.41666666666666,460.3333333333333,Indiana,523.75,19.995672078969857
MI,2004,6.94,314286208,0.4174495967467176,0.0,0.3704111030251492,0.0470384937215685,20,34.583333333333336,564.5,Michigan,599.0833333333334,19.565814619163223
OH,2004,6.89,498975788,0.7620231900415373,0.6218494287795371,0.1034911927275749,0.0366825685344252,33,54.583333333333336,474.0833333333333,Ohio,528.6666666666666,20.028068131496525
WI,2004,6.88,202532188,0.0,0.0,0.0,0.0,47,27.666666666666668,620.4166666666666,Wisconsin,648.0833333333333,19.126409384965584
IA,2004,6.4,167533192,0.0,0.0,0.0,0.0,13,50.5,545.4166666666666,Iowa,595.9166666666666,18.93669205079209
KS,2004,6.37,153442572,0.830146397110083,0.0021103998985994,0.5789733189682489,0.2490626782432347,14,100.83333333333331,389.25,Kansas,490.0833333333333,18.848836931211263
MN,2004,6.24,155816120,0.0,0.0,0.0,0.0,21,23.166666666666668,703.9166666666666,Minnesota,727.0833333333333,18.864187152030716
MO,2004,6.07,312443144,0.0952398537612171,0.0914730972340189,0.0,0.0037667565271981,23,82.75,401.0833333333333,Missouri,483.8333333333333,19.559933071387785
NE,2004,5.7,85348948,0.0747224255876743,0.0,0.0069434405703973,0.067778985017277,25,67.58333333333333,500.0,Nebraska,567.5833333333334,18.26225868141113
ND,2004,5.69,122628828,0.961192809845966,0.5882997564258221,0.102398464599405,0.2704945888207387,32,20.416666666666668,764.8333333333334,North Dakota,785.25,18.624672692487938
SD,2004,6.44,15787120,0.0966966124909677,0.0,0.0118093676865502,0.0848872448044174,39,41.25,598.9166666666666,South Dakota,640.1666666666666,16.57470497567583
DE,2004,7.53,26374676,0.0,0.0,0.0,0.0,7,90.66666666666669,382.4166666666667,Delaware,473.08333333333337,17.087914865324862
FL,2004,8.16,524476912,0.0402991906732739,0.0,0.0083078974409624,0.0319912932323115,8,285.75,59.25,Florida,345.0,20.07791196576598
GA,2004,6.58,331047132,0.0,0.0,0.0,0.0,9,140.41666666666666,231.91666666666663,Georgia,372.3333333333333,19.617771315953696
MD,2004,7.15,129468628,0.3859900248929424,0.3858854326979108,0.0001045921950315,0.0,18,93.41666666666669,385.8333333333333,Maryland,479.25,18.67894915492917
NC,2004,6.97,293214408,0.0,0.0,0.0,0.0,31,119.83333333333331,283.0833333333333,North Carolina,402.9166666666666,19.496414667287834
SC,2004,6.22,161679888,0.0,0.0,0.0,0.0,38,162.16666666666666,220.25,South Carolina,382.4166666666666,18.901128938333027
VA,2004,6.43,189242800,0.6904158947341948,0.6232126159232363,0.0671194490402634,8.38297706950936e-05,44,90.66666666666669,355.8333333333333,Virginia,446.5,19.05854140464397
WV,2004,5.13,331993156,0.9951649616123902,0.93662976601311,0.0560047716709196,0.0025304239283605,46,60.833333333333336,413.75,West Virginia,474.5833333333333,19.62062491221045
AL,2004,6.08,325311372,0.5978428790643663,0.3442133325729927,0.2256552753815527,0.0279742711098208,1,153.41666666666666,219.75,Alabama,373.1666666666666,19.600293349332393
KY,2004,4.63,352837788,0.977183350597674,0.9390050129837302,0.0333016426258385,0.0048766949881052,15,90.58333333333331,353.1666666666667,Kentucky,443.75,19.681518985204704
MS,2004,7.0,102364320,0.5836048016421973,0.0907844566419246,0.216135877945865,0.2766844670544077,22,173.5,194.91666666666663,Mississippi,368.4166666666666,18.44404877235123
TN,2004,6.14,237232256,0.1383130572073653,0.1307164151975608,0.0038651457938695,0.0037314962159349,40,107.5,300.0,Tennessee,407.5,19.28455020235179
AR,2004,5.67,115376112,0.4554635274666751,0.0003119858195489,0.3773875857464211,0.077763955900705,3,132.25,266.5833333333333,Arkansas,398.8333333333333,18.563707888877357
