Year,State,CO2_annual
2001,KY,354138352
2001,LA,219919432
2001,MA,99152464
2001,MD,123026348
2001,ME,35440016
2001,MI,311854524
2001,MN,146191760
2001,MO,280815508
2001,MS,126115140
2001,MT,74102940
2001,NC,285036708
2001,ND,128339628
2001,NE,85810996
2001,NH,18182220
2001,NJ,87756212
2001,NM,126947836
2001,NV,96555964
2001,NY,244013156
2001,OH,478779008
2001,OK,186723676
2001,OR,37514008
2001,PA,453234964
2001,RI,13784508
2001,SC,143831284
2001,SD,15846596
2001,TN,248198360
2001,TX,1022869444
2001,US-TOTAL,9674426892
2001,UT,131527556
2001,VA,188731312
2001,VT,174076
2001,WA,62728700
2001,WI,199215764
2001,WV,302705664
2001,WY,185288552
2002,AK,17816940
2002,AL,323750316
2002,AR,109476804
2002,AZ,184025336
2002,CA,240073864
2002,CO,166501336
2002,CT,41523956
2002,DC,1056464
2002,DE,24279568
2002,FL,501734316
2002,GA,330732464
2002,HI,37388028
2002,IA,166332828
2002,ID,3093416
2002,IL,388416860
2002,IN,467106592
2002,KS,156870148
2002,KY,352416704
2002,LA,221741972
2002,MA,101256200
2002,MD,126062488
2002,ME,40880296
2002,MI,300901192
2002,MN,151716004
2002,MO,283718368
2002,MS,94151384
2002,MT,67340368
2002,NC,293624424
2002,ND,129777464
2002,NE,83208032
2002,NH,18416508
2002,NJ,88610676
2002,NM,118512116
2002,NV,85136920
2002,NY,225044380
2002,OH,497727168
2002,OK,195493432
2002,OR,28846728
2002,PA,479959600
2002,RI,12393636
2002,SC,147828852
2002,SD,13809136
2002,TN,239212568
2002,TX,1033592352
2002,US-TOTAL,9695852360
2002,UT,135246252
2002,VA,188461768
2002,VT,60624
2002,WA,50816200
2002,WI,198414276
2002,WV,350185648
2002,WY,181109388
2003,AK,15942016
2003,AL,325141820
2003,AR,110669244
2003,AZ,189037616
2003,CA,225233640
2003,CO,164711520
2003,CT,38554280
2003,DC,331536
2003,DE,28263584
2003,FL,520041296
2003,GA,321021156
2003,HI,35000136
2003,IA,165256872
2003,ID,4455912
2003,IL,385691956
2003,IN,472234748
2003,KS,156511404
2003,KY,345891016
2003,LA,225759952
2003,MA,109759316
2003,MD,131871476
2003,ME,31061796
2003,MI,296769020
2003,MN,161254512
2003,MO,307808128
2003,MS,94550864
2003,MT,75919612
2003,NC,290853532
2003,ND,128132932
2003,NE,87015148
2003,NH,30687320
2003,NJ,81523068
2003,NM,126754328
2003,NV,93048524
2003,NY,229929828
2003,OH,516368448
2003,OK,196941048
2003,OR,35472268
2003,PA,481631400
2003,RI,9650288
2003,SC,148141780
2003,SD,14849132
2003,TN,225923784
2003,TX,1030723344
2003,US-TOTAL,9780377200
2003,UT,139092324
2003,VA,186369436
2003,VT,102860
2003,WA,61028148
2003,WI,196738508
2003,WV,346218192
2003,WY,184437132
2004,AK,19109972
2004,AL,325311372
