State,Year,e_price
MAT,2008,13.17
NJ,2008,14.43
NY,2008,16.47
PA,2008,9.33
ENC,2008,8.53
IL,2008,9.23
IN,2008,7.09
MI,2008,8.93
OH,2008,8.39
WI,2008,9.0
WNC,2008,7.13
IA,2008,6.89
KS,2008,7.45
MN,2008,7.79
MO,2008,6.84
NE,2008,6.58
ND,2008,6.69
SD,2008,7.14
SAT,2008,9.33
DE,2008,12.38
DC,2008,13.18
FL,2008,10.74
GA,2008,8.84
MD,2008,13.01
NC,2008,7.96
SC,2008,7.85
VA,2008,8.0
WV,2008,5.61
ESC,2008,7.87
AL,2008,8.59
KY,2008,6.26
MS,2008,8.99
TN,2008,8.18
WSC,2008,10.13
AR,2008,7.6
LA,2008,9.44
OK,2008,7.81
TX,2008,10.99
MTN,2008,8.18
AZ,2008,9.11
CO,2008,8.59
ID,2008,5.69
MT,2008,7.72
NV,2008,9.89
NM,2008,8.35
UT,2008,6.49
WY,2008,5.67
PCC,2008,10.57
CA,2008,12.49
OR,2008,7.24
WA,2008,6.55
PCN,2008,23.73
AK,2008,14.74
HI,2008,29.2
AT,2008,11.25
NEW,2009,15.65
CT,2009,18.07
ME,2009,13.12
MA,2009,15.45
NH,2009,15.09
RI,2009,14.22
VT,2009,12.75
MAT,2009,12.92
NJ,2009,14.53
NY,2009,15.44
PA,2009,9.6
ENC,2009,8.91
IL,2009,9.15
IN,2009,7.62
MI,2009,9.4
OH,2009,9.02
WI,2009,9.38
WNC,2009,7.57
IA,2009,7.37
KS,2009,7.98
MN,2009,8.14
MO,2009,7.35
NE,2009,7.21
ND,2009,6.63
SD,2009,7.39
SAT,2009,9.87
DE,2009,12.2
DC,2009,13.23
FL,2009,11.49
GA,2009,8.81
MD,2009,13.09
NC,2009,8.48
SC,2009,8.42
VA,2009,8.93
WV,2009,6.65
ESC,2009,8.13
AL,2009,8.83
KY,2009,6.52
MS,2009,8.85
TN,2009,8.69
WSC,2009,8.94
AR,2009,7.57
LA,2009,7.06
OK,2009,6.94
TX,2009,9.86
MTN,2009,8.41
AZ,2009,9.56
CO,2009,8.31
ID,2009,6.51
MT,2009,7.58
NV,2009,10.36
NM,2009,8.09
UT,2009,6.77
WY,2009,6.08
PCC,2009,11.04
CA,2009,13.24
OR,2009,7.47
WA,2009,6.59
PCN,2009,18.87
AK,2009,15.09
HI,2009,21.21
AT,2009,11.395
NEW,2010,14.89
CT,2010,17.38
ME,2010,12.84
MA,2010,14.26
NH,2010,14.84
RI,2010,14.07
VT,2010,13.24
MAT,2010,13.6
NJ,2010,14.68
NY,2010,16.41
PA,2010,10.31
ENC,2010,9.08
IL,2010,9.13
IN,2010,7.67
MI,2010,9.88
OH,2010,9.14
WI,2010,9.78
WNC,2010,7.93
IA,2010,7.66
KS,2010,8.35
MN,2010,8.41
MO,2010,7.78
NE,2010,7.52
ND,2010,7.11
SD,2010,7.82
SAT,2010,9.61
DE,2010,11.97
DC,2010,13.35
FL,2010,10.58
GA,2010,8.87
MD,2010,12.71
NC,2010,8.67
