State,Year,Fuels_ratio,coal_ratio,natural_gas_ratio,crude_oil_ratio,renewable_ratio
ND,2005,0.966123484243077,0.568323430967189,0.09824623883812238,0.29955381443776563,0.03387651575692297
ND,2006,0.9639987413015936,0.5485841023078898,0.09849315030680773,0.316921488686896,0.03600263885016797
ND,2007,0.942549540443337,0.5028560682635576,0.10045211286366877,0.3392413593161107,0.05745045955666298
ND,2008,0.9330042763713369,0.4420168316515373,0.0785617791895432,0.41242566553025634,0.06699686460287252
ND,2009,0.9165365490756505,0.38403067540586394,0.07888899670760838,0.4536168769621782,0.08346345092434948
ND,2010,0.9124956607000123,0.30278412694085965,0.08633463238412566,0.5233769013750269,0.08750433929998773
ND,2011,0.9126398113557551,0.24268670175579893,0.08629602808010779,0.5836570815198484,0.08736018864424491
ND,2012,0.9401644281888691,0.17209693794252706,0.10860339252773155,0.6594640977186105,0.059835571811130896
ND,2013,0.9522317210691537,0.14076033952028283,0.12129735454573161,0.6901740270031392,0.04776827893084636
ND,2014,0.9574602973633601,0.11974956869344383,0.13434576926220917,0.7033649594077072,0.04253970263663982
ND,2015,0.9613779701391653,0.10689039580051349,0.18505677265318804,0.6694308016854637,0.038622029860834774
ND,2016,0.9534274080937902,0.1145327029856539,0.2196568796644129,0.6192378254437234,0.04657259190620976
ND,2017,0.9426797105543833,0.10652712572608106,0.23178629797001457,0.6043662868582876,0.05732028944561675
ND,2018,0.9505569598104611,0.09454129731084529,0.23480082568612104,0.6212148368134948,0.04944327664031817
ND,2019,0.9551391440626474,0.07684142277197749,0.25205093180940996,0.62624678948126,0.044861068238145445
ND,2020,0.9465614837023748,0.0852562459699173,0.2838023150082328,0.5775029227242248,0.053438516297625194
ND,2021,0.9407704619885402,0.08406853975497915,0.3218173810826527,0.5348845411509084,0.0592295380114598
NE,1960,0.9207005522903807,0.0,0.10446262441300688,0.8162379278773738,0.0792994477096193
NE,1961,0.9255766475852429,0.0,0.10582940395200065,0.8197472436332423,0.07442335241475707
NE,1962,0.9257008676727471,0.0,0.09877724005612669,0.8269236276166204,0.07429913232725294
NE,1963,0.9096704678100027,0.0,0.09701894585615516,0.8126515219538475,0.08465347169666107
NE,1964,0.8991552078566396,0.0,0.09391502684012872,0.8052401810165108,0.09298524700908714
NE,1965,0.8926751313833213,0.0,0.09878594655620662,0.7938891848271147,0.10783370568545919
NE,1966,0.8684768573932876,0.0,0.11138233603196894,0.7570945213613187,0.13152314260671236
NE,1967,0.8629099170288423,0.0,0.09677992888186487,0.7661299881469775,0.13709008297115766
NE,1968,0.8537332127200612,0.0,0.09366084475680189,0.7600723679632594,0.14626678727993878
NE,1969,0.8434861278648975,0.0,0.08725012924349475,0.7562359986214027,0.15651387213510254
NE,1970,0.8214085768670921,0.0,0.07775165155077819,0.743656925316314,0.17859142313290785
NE,1971,0.7988549521415695,0.0,0.058001371010739586,0.74085358113083,0.20114504785843046
NE,1972,0.7655788417590993,0.0,0.06203667577058135,0.7035421659885179,0.23440722367760994
NE,1973,0.6655302273829563,0.0,0.0665173604176771,0.5990128669652791,0.2412484665202134
NE,1974,0.4067760203085335,0.0,0.03239601640304628,0.3743800039054872,0.15779144698301112
NE,1975,0.3237318870997532,0.0,0.025731652030827612,0.2980002350689256,0.12927951374313681
NE,1976,0.32456044921629834,0.0,0.024502707180933413,0.3000577420353649,0.13705783408788505
NE,1977,0.28154536509734934,0.0,0.023532305673991474,0.2580130594233579,0.12027788544679328
NE,1978,0.26960851922560414,0.0,0.022800688158305448,0.2468078310672987,0.11684173084880117
NE,1979,0.25808714943435057,0.0,0.022913311638412037,0.23517383779593856,0.11247502522535767
NE,1980,0.31964298910410627,0.0,0.022473293975646406,0.29716969512845987,0.1623956186519308
NE,1981,0.3307156367467139,0.0,0.021923208912937645,0.30879242783377625,0.14216965546962912
NE,1982,0.2674995418554538,0.0,0.015627468451218665,0.2518720734042352,0.12006546727584093
NE,1983,0.31267211053276667,0.0,0.018162138070451906,0.29450997246231475,0.1594798083504449
NE,1984,0.32222132471728593,0.0,0.019943457189014538,0.3022778675282714,0.17151050080775443
NE,1985,0.38504462257120525,0.0,0.019075921987749243,0.36596870058345604,0.21587872839304215
NE,1986,0.28538287716107985,0.0,0.010155236732674591,0.27522764042840525,0.1730334674885344
NE,1987,0.2444848533290704,0.0,0.009171928702741588,0.23531292462632883,0.1581474968694216
NE,1988,0.2747538862099247,0.0,0.007672279653052736,0.2670816065568719,0.16761157928792617
NE,1989,0.25931940031076334,0.0,0.0064112434732701545,0.2529081568374932,0.14239119783865503
NE,1990,0.2632387956237379,0.0,0.005877211489194973,0.2573615841345429,0.13785828385424514
NE,1991,0.2534296716007086,0.0,0.005805185868435308,0.24762448573227333,0.12892929825331986
NE,1992,0.2283077777006869,0.0,0.008027475196003608,0.22028030250468328,0.13612016929161175
NE,1993,0.24411961417900224,0.0,0.016607708361872375,0.22751190581712988,0.17987252113232177
NE,1994,0.22213639911538963,0.0,0.023318589826980617,0.198817809288409,0.2386252764407441
NE,1995,0.1615442654256278,0.0,0.014656099140665166,0.14688816628496265,0.3133066696935907
NE,1996,0.12809280116972424,0.0,0.010789106942953097,0.11730369422677114,0.3046080738388431
