State,Year,Fuels_ratio,coal_ratio,natural_gas_ratio,crude_oil_ratio
US,1985,0.8504143561524401,0.2873209487974509,0.283456679365581,0.2796367279894082
US,1986,0.8441112494147438,0.29236656568041497,0.27869900841892203,0.2730456753154068
US,1987,0.8469342803957025,0.2993268619233582,0.28693176962089617,0.2606756488514481
US,1988,0.8405179599419127,0.3025256529338846,0.2884678336123328,0.2495244733956952
US,1989,0.8297787910590079,0.30943355027150277,0.28857381222922457,0.23177142855828053
US,1990,0.829170274602456,0.32012301535637144,0.2900481224221751,0.21899913682390945
US,1991,0.8232774020799812,0.3094305771243091,0.2916916842983931,0.22215514065727907
US,1992,0.8249208422252575,0.3117007632634191,0.296532018250703,0.2166880607111354
US,1993,0.8172662264573676,0.297849557666873,0.3073588398872615,0.21205782890323313
US,1994,0.8211282423551273,0.31519461246983504,0.30700952055746933,0.19892410932782287
US,1995,0.8087638787135164,0.31111802117619325,0.3028460728855878,0.19479978465173545
US,1996,0.8058658582804863,0.31451683822830545,0.30237344644408964,0.18897557360809122
US,1997,0.8134975991747201,0.32079966151551337,0.3055549796888344,0.1871429579703723
US,1998,0.813904539194839,0.3282265006968017,0.30404791360893885,0.1816301248890984
US,1999,0.8026914050093906,0.3237169259473384,0.30507100056118075,0.17390347850087148
US,2000,0.8039799262610811,0.31717985364207707,0.3133216777763739,0.1734783948426301
US,2001,0.8158402014323862,0.3292138300450948,0.31521325142077894,0.17141311996651243
US,2002,0.803621095863925,0.3216761863831134,0.30985162398200083,0.17209328549881084
US,2003,0.8010015861341014,0.31570143644714205,0.31410632722601967,0.17119382246093973
US,2004,0.7965247396140648,0.3250652897525253,0.30694391598471443,0.16451553387682505
US,2005,0.7929089414404777,0.33386978215504093,0.3009954145384519,0.15804374474698493
US,2006,0.7903382737997925,0.3349344189522527,0.30288437504333837,0.15251947980420136
US,2007,0.789854977750781,0.3276347359137077,0.31142016325748206,0.1508000785795912
US,2008,0.7861800988652576,0.32456726186916496,0.31630492797263354,0.14530790902345914
US,2009,0.7801982632863065,0.298351824360397,0.3258584020585572,0.15598803686735238
US,2010,0.7760553794610874,0.29193445733213613,0.32886237996114415,0.1552585421678071
US,2011,0.7748424239887514,0.28259218769824196,0.338351533528705,0.1538987027618044
US,2012,0.7861239763142316,0.25972635851750464,0.35166829174495556,0.17472932605177136
US,2013,0.7840376613235724,0.2430679451648307,0.3471212478989656,0.1938484682597762
US,2014,0.7934359916394419,0.22975027045223056,0.35164969168895627,0.212036029498255
US,2015,0.7953394148233764,0.20271831950668787,0.3698828519825312,0.22273824333415743
US,2016,0.7760159533988656,0.17225289459977752,0.3842233371574953,0.21953972164159286
US,2017,0.7770073395890371,0.176201096107032,0.3792635240713289,0.22154271941067621
US,2018,0.7912065214873247,0.1593829427890189,0.3938787244936206,0.23794485420468517
US,2019,0.8024504830399213,0.14059995463453126,0.40986137656698907,0.2519891518384009
US,2020,0.7920607832202188,0.11185833048849154,0.43429365789683466,0.24590879483489253
US,2021,0.7922761435588951,0.11836594606471927,0.4362949399291882,0.2376152575649876
UT,1960,0.9858914406189893,0.2945206710682085,0.13143250412805046,0.5599382654227304
UT,1961,0.9877054997201535,0.3197775153379983,0.15353530484522748,0.5143926795369277
UT,1962,0.9827977063608481,0.27631184157887717,0.20650808996755124,0.4999777748144197
UT,1963,0.9849156467085677,0.26706450545815413,0.20465762487595104,0.5131935163744624
UT,1964,0.9722295934977143,0.2988786238178222,0.21994457408770207,0.45340639559219004
UT,1965,0.9667176906672377,0.3343422389022799,0.20780175294931263,0.42457369881564516
UT,1966,0.9688768689022618,0.3282170205866066,0.21280475306168029,0.4278550952539749
UT,1967,0.9555580124564877,0.3237581203367741,0.1645040354597811,0.4672958566599325
UT,1968,0.9566835539059643,0.33830581255164377,0.156722837056202,0.46165490429811845
UT,1969,0.9540435003062011,0.35490020479254053,0.15429241214004913,0.4448508833736114
UT,1970,0.9661863624926612,0.36752830663423636,0.14392015432357627,0.4547379015348486
UT,1971,0.9585185721050139,0.352087388856737,0.1557616930604514,0.45066949018782554
UT,1972,0.9530206309556851,0.342763746260832,0.13501711536682395,0.47523976932802914
UT,1973,0.9619241491085899,0.34830470016207454,0.12245575364667748,0.49116369529983794
UT,1974,0.971637285569671,0.32390493474751714,0.12720586223563854,0.5205264885865154
UT,1975,0.9709648004423154,0.3422745408708497,0.12253209055912462,0.5061581690123411
UT,1976,0.9670831922686283,0.3936914398272928,0.13598930692895175,0.43740244551238366
UT,1977,0.974991189568449,0.42408611796366896,0.14070205790322407,0.410203013701556
UT,1978,0.9740933863476666,0.4511645443795095,0.13317494729986804,0.3897538946682891
UT,1979,0.9737478989655113,0.5394282105636067,0.12468159580428467,0.3096380925976199
UT,1980,0.9772236093917204,0.5416570497352721,0.18225308965777712,0.2533134699986711
UT,1981,0.9790359374259624,0.54090936782893,0.1843036912183796,0.2538228783786528
UT,1982,0.97383954651259,0.6190724490162315,0.15157826045551692,0.20318883704084165
UT,1983,0.9608147307586222,0.5031164210491241,0.1406008481996583,0.3170974615098398
UT,1984,0.9637325425963166,0.47855634588259366,0.14773320005299906,0.33744299666072386
UT,1985,0.9714022394434766,0.4609965125429043,0.14819702448568428,0.362208702414888
UT,1986,0.9664848023828885,0.48312072116183297,0.15228073550113227,0.33108334571992315
UT,1987,0.9802360969444321,0.5315535056987006,0.1610173954499091,0.28766519579582245
UT,1988,0.9846939305892687,0.5462872483640087,0.18955928291863963,0.24884739930662036
UT,1989,0.985363181160565,0.5764938331039082,0.2022526283589462,0.2066167196977105
UT,1990,0.9876294885439305,0.5871326015501313,0.21668658577328037,0.18381030122051886
