"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=1,0&geo=fvvvvvvvvvvvo&endsec=g&freq=A&start=2001&end=2023&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Tue Apr 23 2024 23:40:57 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"All sectors : Nevada","cents per kilowatthour","ELEC.PRICE.NV-ALL.A",7.86,8.42,8.29,8.56,9.02,9.63,9.99,9.89,10.36,9.73,8.97,8.95,9.03,9.73,9.48,8.38,8.76,8.67,8.78,8.33,8.58,10.94,13.01
"All sectors : New Mexico","cents per kilowatthour","ELEC.PRICE.NM-ALL.A",7.16,6.73,7.00,7.10,7.51,7.37,7.44,8.35,8.09,8.40,8.74,8.83,9.25,9.65,9.62,9.12,9.59,9.35,8.99,9.33,9.79,10.02,9.67
"All sectors : Utah","cents per kilowatthour","ELEC.PRICE.UT-ALL.A",5.21,5.39,5.41,5.69,5.92,5.99,6.41,6.49,6.77,6.94,7.13,7.84,8.15,8.35,8.54,8.72,8.60,8.21,8.24,8.27,8.34,8.80,9.03
"All sectors : Wyoming","cents per kilowatthour","ELEC.PRICE.WY-ALL.A",4.46,4.68,4.76,4.98,5.16,5.27,5.29,5.67,6.08,6.20,6.58,7.19,7.55,7.76,7.97,8.19,8.28,8.09,8.10,8.27,8.25,8.24,8.34
"All sectors : Pacific Contiguous","cents per kilowatthour","ELEC.PRICE.PCC-ALL.A",9.26,10.11,9.83,9.55,9.74,10.62,10.71,10.57,11.04,10.92,11.01,11.38,11.94,12.55,12.82,12.75,13.28,13.66,13.79,14.63,15.70,17.46,19.15
"All sectors : California","cents per kilowatthour","ELEC.PRICE.CA-ALL.A",11.22,12.19,11.78,11.35,11.63,12.82,12.80,12.49,13.24,13.01,13.05,13.53,14.30,15.15,15.42,15.23,16.06,16.58,16.89,18.00,19.65,22.33,24.73
"All sectors : Oregon","cents per kilowatthour","ELEC.PRICE.OR-ALL.A",5.44,6.32,6.18,6.21,6.34,6.53,7.02,7.24,7.47,7.56,8.04,8.21,8.44,8.68,8.75,8.83,8.81,8.85,8.81,8.82,8.95,9.26,10.23
"All sectors : Washington","cents per kilowatthour","ELEC.PRICE.WA-ALL.A",5.34,5.88,5.86,5.80,5.87,6.14,6.37,6.55,6.59,6.66,6.78,6.94,7.09,7.13,7.40,7.68,7.94,8.00,8.04,8.33,8.75,9.05,9.61
"All sectors : Pacific Noncontiguous","cents per kilowatthour","ELEC.PRICE.PCN-ALL.A",12.79,12.35,13.09,14.05,15.96,17.82,18.29,23.73,18.87,21.14,25.57,26.96,26.59,27.13,22.80,21.53,23.28,25.35,25.48,24.44,26.19,32.14,31.72
"All sectors : Alaska","cents per kilowatthour","ELEC.PRICE.AK-ALL.A",10.54,10.46,10.50,10.99,11.72,12.84,13.28,14.74,15.09,14.76,16.08,16.33,16.49,17.46,17.59,17.93,19.10,19.36,20.22,19.82,20.02,20.73,21.39
"All sectors : Hawaii","cents per kilowatthour","ELEC.PRICE.HI-ALL.A",14.05,13.39,14.47,15.70,18.33,20.72,21.29,29.20,21.21,25.12,31.59,34.04,33.26,33.43,26.17,23.87,26.05,29.18,28.72,27.55,30.31,39.72,38.70
